            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2426676.500000000, A.D. 1931-Dec-01 00:00:00.0000, -4.797268723441387E+03, -1.324528264119133E+03, -3.974527538535580E+03,
2426707.500000000, A.D. 1932-Jan-01 00:00:00.0000, -4.313315933899663E+03, -3.620124420633448E+03, -2.975741305194005E+03,
2426738.500000000, A.D. 1932-Feb-01 00:00:00.0000, -2.623956433378979E+03, -5.367898618140567E+03, -2.205798844643532E+03,
2426767.500000000, A.D. 1932-Mar-01 00:00:00.0000, -3.644462413323263E+02, -6.073192547672834E+03, -1.883757600650091E+03,
2426798.500000000, A.D. 1932-Apr-01 00:00:00.0000,  2.141507614776114E+03, -5.634963101194683E+03, -2.055764448074582E+03,
2426828.500000000, A.D. 1932-May-01 00:00:00.0000,  4.013760861665908E+03, -4.152801286353494E+03, -2.684957486322048E+03,
2426859.500000000, A.D. 1932-Jun-01 00:00:00.0000,  4.854125044636654E+03, -1.941915107376123E+03, -3.637508384693111E+03,
2426889.500000000, A.D. 1932-Jul-01 00:00:00.0000,  4.390655797925733E+03,  2.822744146492639E+02, -4.605159530451974E+03,
2426920.500000000, A.D. 1932-Aug-01 00:00:00.0000,  2.721915881165028E+03,  2.046753609379958E+03, -5.382100433872338E+03,
2426951.500000000, A.D. 1932-Sep-01 00:00:00.0000,  3.048403878976917E+02,  2.785387645389809E+03, -5.719590849418626E+03,
2426981.500000000, A.D. 1932-Oct-01 00:00:00.0000, -2.115051401184711E+03,  2.327665164821845E+03, -5.538371956880339E+03,
2427012.500000000, A.D. 1932-Nov-01 00:00:00.0000, -4.023143934482892E+03,  7.709312517810008E+02, -4.876987735210945E+03,
2427042.500000000, A.D. 1932-Dec-01 00:00:00.0000, -4.802011789726807E+03, -1.381089940032333E+03, -3.949468930223826E+03,
2427073.500000000, A.D. 1933-Jan-01 00:00:00.0000, -4.286016284194920E+03, -3.670744481295585E+03, -2.953088357396553E+03,
2427104.500000000, A.D. 1933-Feb-01 00:00:00.0000, -2.572314591406838E+03, -5.398522077230796E+03, -2.191845913020405E+03,
2427132.500000000, A.D. 1933-Mar-01 00:00:00.0000, -3.860361050225786E+02, -6.071611404192055E+03, -1.884553677675713E+03,
2427163.500000000, A.D. 1933-Apr-01 00:00:00.0000,  2.121961266293879E+03, -5.643566531176557E+03, -2.052429943863947E+03,
2427193.500000000, A.D. 1933-May-01 00:00:00.0000,  4.001255840882556E+03, -4.169010417185074E+03, -2.678494972767855E+03,
2427224.500000000, A.D. 1933-Jun-01 00:00:00.0000,  4.852166202215514E+03, -1.961535675831202E+03, -3.629585709203735E+03,
2427254.500000000, A.D. 1933-Jul-01 00:00:00.0000,  4.399339360804968E+03,  2.645468379030806E+02, -4.597919055503772E+03,
2427285.500000000, A.D. 1933-Aug-01 00:00:00.0000,  2.739070729092149E+03,  2.035825332844234E+03, -5.377540166016182E+03,
2427316.500000000, A.D. 1933-Sep-01 00:00:00.0000,  3.255724703093418E+02,  2.784295720962341E+03, -5.718979925366461E+03,
2427346.500000000, A.D. 1933-Oct-01 00:00:00.0000, -2.096457579624700E+03,  2.336407919681724E+03, -5.541759209097751E+03,
2427377.500000000, A.D. 1933-Nov-01 00:00:00.0000, -4.011944625208110E+03,  7.874201762821035E+02, -4.883574640791795E+03,
2427407.500000000, A.D. 1933-Dec-01 00:00:00.0000, -4.801075925476322E+03, -1.361441881747978E+03, -3.957420554145250E+03,
2427438.500000000, A.D. 1934-Jan-01 00:00:00.0000, -4.296034469865896E+03, -3.653199927263508E+03, -2.960278636733885E+03,
2427469.500000000, A.D. 1934-Feb-01 00:00:00.0000, -2.590628503273130E+03, -5.387953387427655E+03, -2.196277244537391E+03,
2427497.500000000, A.D. 1934-Mar-01 00:00:00.0000, -4.076121701048626E+02, -6.069934072347476E+03, -1.885413524422342E+03,
2427528.500000000, A.D. 1934-Apr-01 00:00:00.0000,  2.102381892861174E+03, -5.652082326278942E+03, -2.049143049050448E+03,
2427558.500000000, A.D. 1934-May-01 00:00:00.0000,  3.988685166823758E+03, -4.185153758872743E+03, -2.672061027837980E+03,
2427589.500000000, A.D. 1934-Jun-01 00:00:00.0000,  4.850122186259812E+03, -1.981122747252916E+03, -3.621670736083621E+03,
2427619.500000000, A.D. 1934-Jul-01 00:00:00.0000,  4.407939547713529E+03,  2.468114877035289E+02, -4.590662753369900E+03,
2427650.500000000, A.D. 1934-Aug-01 00:00:00.0000,  2.756172657695428E+03,  2.024846905738975E+03, -5.372945074279886E+03,
2427681.500000000, A.D. 1934-Sep-01 00:00:00.0000,  3.463059006760464E+02,  2.783137661766462E+03, -5.718325669350351E+03,
2427711.500000000, A.D. 1934-Oct-01 00:00:00.0000, -2.077814193590054E+03,  2.345095824862564E+03, -5.545110028760922E+03,
2427742.500000000, A.D. 1934-Nov-01 00:00:00.0000, -4.000664316114949E+03,  8.038813250936437E+02, -4.890142260391541E+03,
2427772.500000000, A.D. 1934-Dec-01 00:00:00.0000, -4.800043378691756E+03, -1.341790483799975E+03, -3.965376822219844E+03,
2427803.500000000, A.D. 1935-Jan-01 00:00:00.0000, -4.305957027709061E+03, -3.635614936337127E+03, -2.967502248043364E+03,
2427834.500000000, A.D. 1935-Feb-01 00:00:00.0000, -2.608877137519638E+03, -5.377305473850023E+03, -2.200767457994369E+03,
2427862.500000000, A.D. 1935-Mar-01 00:00:00.0000, -4.291652720162855E+02, -6.068161435782046E+03, -1.886336513064374E+03,
2427893.500000000, A.D. 1935-Apr-01 00:00:00.0000,  2.082769549371113E+03, -5.660508611217050E+03, -2.045909271812206E+03,
2427923.500000000, A.D. 1935-May-01 00:00:00.0000,  3.976045275116842E+03, -4.201235972053546E+03, -2.665654095954955E+03,
2427954.500000000, A.D. 1935-Jun-01 00:00:00.0000,  4.847999581246852E+03, -2.000685114247493E+03, -3.613750214914684E+03,
2427984.500000000, A.D. 1935-Jul-01 00:00:00.0000,  4.416470149563680E+03,  2.290652737577784E+02, -4.583377793757386E+03,
2428015.500000000, A.D. 1935-Aug-01 00:00:00.0000,  2.773230771316455E+03,  2.013821600066844E+03, -5.368309336659433E+03,
2428046.500000000, A.D. 1935-Sep-01 00:00:00.0000,  3.670419711182294E+02,  2.781905760857855E+03, -5.717631678508211E+03,
